address,block,validity,multisig,option,importance
NAZ23DUUCOKH6DZK5PTYUHW654W5ATUZH6TLFTB3,1545312,Too Late,false,yes,0.0003378971092628081
NCGW7D7Z5OFU5PSRJHQEQQHIO6SZWIM4CROZX42X,1543852,Valid,true,yes,0.0001080531213455884
NAEAO4PXHWDDFMLSJL34M6XHLEZDMWJOIDZ6WYC3,1543393,Valid,false,yes,0.0000094206434306896
NAPWGNSU24MHS5QZ6E5ZO4VH3V3LWR7AKRHUZQKH,1543328,Valid,false,yes,0.000017381045204929886
NB3BVPLP47UAJIHGGSD2BPF5OGJKZ7HF5W4OIQVF,1543078,Not a 0xem transaction,false,yes,0
NDGFG6JMQNBPPV4HB5CELLBCV2OVX2OVVFY6ELGS,1543051,Valid,false,yes,0
NAQ52JYXZCWNVI7KP7ZCZD4WNIH3PYDPSXESCYHP,1542977,Valid,false,yes,0.000010475522363694375
NBXIUMUPKKLX4TNKQSOGYKVKQ3AOVP7WEXXJ3MV6,1542905,Valid,false,yes,0
NAOBNDDCUC5NVF7VVINOOYFAWEP5NOFSAJCZOTL4,1542549,Valid,false,yes,0
NCBDVDVSQCSTOZ76GHLMPIKKD6UAS2MIGH626VW4,1542533,Valid,false,yes,0.000011408572143561381
NDYY6OLW4JNT24TE2MVEVYKRGGUD3N62UFLGJM7J,1542533,Valid,false,yes,0
NAU3IDNCZ2MLJIGKB5Y4DVIK6PFIGNJ2QACD4JEH,1542533,Valid,false,yes,0
NCZXL5YGL25ZQI37SV4NNCR7WPRF4O3UNC2GN4JY,1542490,Valid,false,yes,0
NBCZCKXZ5WZ2OAQKQGMJI43S62APSVQGLYCYT6OP,1542371,Valid,false,yes,0.000027300524993930825
NDIBC7SQQIPVFIR2FYSZOWCHZ2W4FPTXOA56YFYU,1542232,Valid,false,yes,0.00005817929475260757
NDD5TZQQ42JSDQ3QZWIDWDIQ3OCNDAKRPYZBF5LD,1542163,Valid,false,yes,0
NAUYRMMG55CYPWWQAF4VZUXC6KW2F2ALSFAVXFTC,1542113,Valid,false,yes,0
